paraphrase_id,context,decoding,name_order,n,philippe_manager,elena_manager,refused,ambiguous
p1,none,high_entropy,EP,5,0.000,0.200,0.000,0.800
p1,none,high_entropy,PE,5,0.200,0.000,0.000,0.800
p1,none,low_entropy,EP,5,0.000,0.000,0.000,1.000
p1,none,low_entropy,PE,5,0.000,0.000,0.000,1.000
p1,pro_elena,high_entropy,EP,5,0.600,0.200,0.000,0.200
p1,pro_elena,high_entropy,PE,5,0.000,0.400,0.000,0.600
p1,pro_elena,low_entropy,EP,5,0.200,0.800,0.000,0.000
p1,pro_elena,low_entropy,PE,5,0.600,0.400,0.000,0.000
p1,pro_philippe,high_entropy,EP,5,0.600,0.200,0.000,0.200
p1,pro_philippe,high_entropy,PE,5,0.000,0.400,0.000,0.600
p1,pro_philippe,low_entropy,EP,5,0.600,0.400,0.000,0.000
p1,pro_philippe,low_entropy,PE,5,0.600,0.200,0.000,0.200
p2,none,high_entropy,EP,5,0.000,0.000,0.200,0.800
p2,none,high_entropy,PE,5,0.200,0.000,0.200,0.600
p2,none,low_entropy,EP,5,0.000,0.000,0.000,1.000
p2,none,low_entropy,PE,5,0.000,0.000,0.000,1.000
p2,pro_elena,high_entropy,EP,5,0.000,0.200,0.000,0.800
p2,pro_elena,high_entropy,PE,5,0.000,0.000,0.000,1.000
p2,pro_elena,low_entropy,EP,5,0.000,0.200,0.000,0.800
p2,pro_elena,low_entropy,PE,5,0.400,0.000,0.000,0.600
p2,pro_philippe,high_entropy,EP,5,0.400,0.000,0.000,0.600
p2,pro_philippe,high_entropy,PE,5,0.200,0.000,0.000,0.800
p2,pro_philippe,low_entropy,EP,5,0.400,0.200,0.000,0.400
p2,pro_philippe,low_entropy,PE,5,0.400,0.000,0.000,0.600
p3,none,high_entropy,EP,5,0.000,0.200,0.000,0.800
p3,none,high_entropy,PE,5,0.000,0.200,0.000,0.800
p3,none,low_entropy,EP,5,0.200,0.600,0.000,0.200
p3,none,low_entropy,PE,5,0.000,0.000,0.000,1.000
p3,pro_elena,high_entropy,EP,5,0.200,0.200,0.000,0.600
p3,pro_elena,high_entropy,PE,5,0.600,0.400,0.000,0.000
p3,pro_elena,low_entropy,EP,5,0.400,0.600,0.000,0.000
p3,pro_elena,low_entropy,PE,5,0.200,0.600,0.000,0.200
p3,pro_philippe,high_entropy,EP,5,0.600,0.200,0.000,0.200
p3,pro_philippe,high_entropy,PE,5,0.400,0.400,0.000,0.200
p3,pro_philippe,low_entropy,EP,5,0.400,0.200,0.000,0.400
p3,pro_philippe,low_entropy,PE,5,0.200,0.600,0.000,0.200
p4,none,high_entropy,EP,5,0.000,0.000,0.000,1.000
p4,none,high_entropy,PE,5,0.000,0.200,0.000,0.800
p4,none,low_entropy,EP,5,0.000,0.000,0.000,1.000
p4,none,low_entropy,PE,5,0.000,0.000,0.000,1.000
p4,pro_elena,high_entropy,EP,5,0.400,0.400,0.000,0.200
p4,pro_elena,high_entropy,PE,5,0.400,0.200,0.000,0.400
p4,pro_elena,low_entropy,EP,5,0.000,0.600,0.000,0.400
p4,pro_elena,low_entropy,PE,5,0.600,0.000,0.000,0.400
p4,pro_philippe,high_entropy,EP,5,0.000,0.000,0.000,1.000
p4,pro_philippe,high_entropy,PE,5,0.600,0.200,0.000,0.200
p4,pro_philippe,low_entropy,EP,5,0.000,0.200,0.000,0.800
p4,pro_philippe,low_entropy,PE,5,0.200,0.600,0.000,0.200
p5,none,high_entropy,EP,5,0.400,0.400,0.000,0.200
p5,none,high_entropy,PE,5,0.600,0.200,0.000,0.200
p5,none,low_entropy,EP,5,0.000,0.800,0.000,0.200
p5,none,low_entropy,PE,5,0.200,0.000,0.000,0.800
p5,pro_elena,high_entropy,EP,5,0.000,0.400,0.000,0.600
p5,pro_elena,high_entropy,PE,5,0.600,0.200,0.000,0.200
p5,pro_elena,low_entropy,EP,5,0.000,1.000,0.000,0.000
p5,pro_elena,low_entropy,PE,5,0.200,0.800,0.000,0.000
p5,pro_philippe,high_entropy,EP,5,0.000,0.600,0.000,0.400
p5,pro_philippe,high_entropy,PE,5,0.600,0.200,0.000,0.200
p5,pro_philippe,low_entropy,EP,5,0.600,0.400,0.000,0.000
p5,pro_philippe,low_entropy,PE,5,0.800,0.200,0.000,0.000
